""
"time"," id"," long"," lat"," angle"," speed"," RSSI"," Throughput"
"407.00","6","23.760769","37.971385","298.342297","4.620600","71.24134610442186","35.62067305221093"
"407.00","8","23.774039","37.967121","81.639112","4.926181","51.469394879171254","25.734697439585624"
"408.00","11","23.760963","37.971297","299.335390","4.620600","36.918043435441874","18.459021717720937"
"408.00","12","23.760843","37.971351","298.342297","4.620600","57.05402651787997","28.527013258939984"
"408.00","13","23.773954","37.967113","81.639112","4.926181","52.89342271813335","26.446711359066676"
"408.00","14","23.773813","37.967100","81.639112","4.926181","37.852350984835255","18.926175492417627"
"408.00","15","23.761081","37.971240","299.483854","4.620600","70.45045070456517","35.225225352282585"
"408.00","16","23.771662","37.967056","100.789254","5.153207","55.62661806724273","27.813309033621366"
"408.00","17","23.763614","37.969907","317.191264","4.884129","64.37750260631714","32.18875130315857"
"408.00","18","23.770716","37.967257","103.085584","5.234089","47.907226797038746","23.953613398519373"
"408.00","19","23.770055","37.967367","94.438598","5.205408","59.700844310142024","29.85042215507101"
"408.00","20","23.763707","37.969823","317.271445","4.884129","73.67588561656456","36.83794280828228"
"408.00","21","23.763798","37.969738","318.372355","4.884131","78.89459610590913","39.447298052954565"
"408.00","22","23.764404","37.969166","318.372355","5.616441","87.52044383387745","43.760221916938725"
"408.00","23","23.765060","37.968557","314.400156","5.421137","36.619435219790915","18.309717609895458"
"408.00","24","23.766629","37.967693","103.419062","4.946208","63.32370672541441","31.661853362707205"
"408.00","25","23.765567","37.968085","122.984432","4.590662","57.954590548163615","28.977295274081808"
"408.00","6","23.760724","37.971406","298.342297","4.620600","85.20617652878613","42.603088264393065"
"408.00","8","23.774094","37.967126","81.639112","4.926181","49.008823601664716","24.504411800832358"
"409.00","11","23.760917","37.971318","298.342297","4.620600","63.90818693798209","31.954093468991047"
"409.00","12","23.760798","37.971372","298.342297","4.620600","55.75518066089661","27.877590330448307"
"409.00","13","23.774009","37.967118","81.639112","4.926181","67.36287860142838","33.68143930071419"
"409.00","14","23.773869","37.967105","81.639112","4.926181","79.76307416929923","39.881537084649615"
"409.00","15","23.761036","37.971262","299.483854","4.620600","34.547237426127495","17.273618713063748"
"409.00","16","23.771719","37.967046","100.775350","5.153207","58.17049256467071","29.085246282335355"
"409.00","17","23.763576","37.969939","314.245365","4.884129","69.53018051077537","34.76509025538768"
"409.00","18","23.770773","37.967245","103.085584","5.234089","43.78003086509163","21.890015432545816"
"409.00","19","23.770113","37.967360","96.318062","5.205408","58.82377466261267","29.411887331306335"
"409.00","20","23.763671","37.969857","317.191264","4.884129","71.81383174047451","35.906915870237256"
"409.00","21","23.763763","37.969772","318.372355","4.884130","59.10265516299013","29.551327581495066"
"409.00","22","23.764363","37.969204","318.372355","5.616441","84.76446023307768","42.38223011653884"
"409.00","23","23.765018","37.968592","314.400156","5.421137","60.32580782245224","30.16290391122612"
"409.00","24","23.766683","37.967682","103.419062","4.946208","81.26276507847876","40.63138253923938"
"409.00","25","23.765610","37.968061","122.984432","4.590662","56.6710325719614","28.3355162859807"
"409.00","6","23.760678","37.971427","298.342297","4.620600","62.68522479221854","31.34261239610927"
"409.00","8","23.774150","37.967131","81.639112","4.926181","69.02576714833937","34.512883574169685"
"410.00","11","23.760872","37.971338","298.342297","4.620600","61.40097372679324","30.70048686339662"
"410.00","12","23.760752","37.971393","298.342297","4.620600","55.10896855379282","27.55448427689641"
"410.00","13","23.774065","37.967124","81.639112","4.926181","50.88541918970477","25.442709594852385"
"410.00","14","23.773925","37.967111","81.639112","4.926181","52.116271312191174","26.058135656095587"
"410.00","15","23.760991","37.971283","299.483854","4.620600","50.674646333380494","25.337323166690247"
"410.00","16","23.771777","37.967036","100.775350","5.153207","46.83312572860849","23.416562864304247"
"410.00","17","23.763535","37.969969","311.729019","4.884129","44.39980512417692","22.19990256208846"
"410.00","18","23.770831","37.967232","103.670417","5.234089","59.15458344139495","29.577291720697477"
"410.00","19","23.770172","37.967352","98.833083","5.205408","64.22187034981592","32.11093517490796"
"410.00","20","23.763634","37.969890","317.191264","4.884129","83.13636288767958","41.56818144383979"
"410.00","21","23.763727","37.969806","317.889606","4.884130","70.68205619049277","35.341028095246386"
"410.00","22","23.764322","37.969243","318.372355","5.616441","61.35449221707484","30.67724610853742"
"410.00","23","23.764975","37.968627","314.400156","5.421137","46.60120734761879","23.300603673809395"
"410.00","24","23.766738","37.967671","101.940832","4.946208","59.2781052883942","29.6390526441971"
"410.00","25","23.765653","37.968038","122.984432","4.590662","58.248873195494276","29.124436597747138"
"410.00","6","23.760633","37.971448","298.342297","4.620600","63.36119355670298","31.680596778351493"
"410.00","8","23.774205","37.967138","80.159776","4.926181","65.99614407652065","32.998072038260325"
"411.00","11","23.760826","37.971359","298.342297","4.620600","94.10665894680632","47.05332947340317"
"411.00","12","23.760707","37.971414","298.342297","4.620600","48.88299846411758","24.441499232058785"
"411.00","13","23.774121","37.967129","81.639112","4.926181","93.69578014749341","46.847890073746704"
"411.00","14","23.773980","37.967116","81.639112","4.926181","43.97709219451757","21.98854609725878"
"411.00","15","23.760945","37.971305","298.938077","4.620600","74.1930438529286","37.0965219264643"
"411.00","16","23.771834","37.967026","100.775350","5.153207","72.62209698344661","36.311048491723305"
"411.00","17","23.763495","37.969999","311.729019","4.884129","79.65354588172882","39.82677294086441"
"411.00","18","23.770888","37.967219","103.937373","5.234089","70.1644325575535","35.08221627877675"
"411.00","19","23.770230","37.967343","98.833083","5.205408","64.1981771241005","32.09908856205025"
"411.00","20","23.763597","37.969923","317.104451","4.884129","51.009044585082506","25.50452229254125"
"411.00","21","23.763690","37.969839","317.191264","4.884130","54.308951194351685","27.154475597175843"
"411.00","22","23.764281","37.969282","318.372355","5.616441","54.99785559499123","27.498927797495618"
"411.00","23","23.764933","37.968663","315.061310","5.421137","23.854779406606","11.927389703303"
"411.00","24","23.766793","37.967663","99.683803","4.946208","62.60992269132299","31.304961345661496"
"411.00","25","23.765696","37.968014","122.984432","4.590662","45.7743448441999","22.88717242209995"
"411.00","6","23.760587","37.971469","298.342297","4.620600","51.63401154517036","25.81700577258518"
"411.00","8","23.774261","37.967144","79.580053","4.926181","55.86822327795537","27.934111638977686"
"412.00","11","23.760781","37.971380","298.342297","4.620600","71.63629777731242","35.81814888865621"
"412.00","12","23.760661","37.971435","298.342297","4.620600","65.92349838001593","32.961749190007964"
"412.00","13","23.774176","37.967134","81.220198","4.926181","43.88510816874425","21.942554084372127"
"412.00","14","23.774036","37.967121","81.639112","4.926181","31.219037795972035","15.609518897986018"
"412.00","15","23.760900","37.971326","298.342297","4.620600","64.16693986348716","32.08346993174358"
"412.00","16","23.771891","37.967016","100.038918","5.153207","62.71123333357214","31.35561666678607"
"412.00","17","23.763455","37.970030","311.729019","4.884129","57.207062608685895","28.603531304342948"
"412.00","18","23.770945","37.967207","103.937373","5.234089","61.299157150530675","30.649578575265338"
"412.00","19","23.770288","37.967334","98.833083","5.205408","62.01656091135766","31.00828045567883"
"412.00","20","23.763557","37.969953","311.768604","4.884129","62.099163777367735","31.04958188868387"
"412.00","21","23.763654","37.969872","317.191264","4.884130","63.63855256438559","31.819276282192796"
"412.00","22","23.764240","37.969321","318.372355","5.616441","74.09803721583751","37.049018607918754"
"412.00","23","23.764893","37.968700","318.577189","5.421137","64.11643532458842","32.05821766229421"
"412.00","24","23.766848","37.967654","99.683803","4.946208","60.96353800109418","30.48176900054709"
"412.00","25","23.765741","37.967993","119.825730","4.590662","69.2741696273265","34.63708481366325"
"412.00","6","23.760542","37.971489","298.342297","4.620600","76.1265555305432","38.0632777652716"
"412.00","8","23.774316","37.967151","79.580053","4.926181","60.32589659961209","30.162948299806047"
"413.00","11","23.760735","37.971401","298.342297","4.620600","53.51931166089201","26.759655830446004"
"413.00","12","23.760616","37.971456","298.342297","4.620600","56.36770978849382","28.18385489424691"
"413.00","13","23.774232","37.967141","79.580053","4.926181","58.422901569255934","29.211450784627967"
"413.00","14","23.774092","37.967126","81.639112","4.926181","77.08655446691505","38.54327723345752"
"413.00","15","23.760854","37.971346","298.342297","4.620600","59.00440030912841","29.502200154564203"
"413.00","16","23.771949","37.967008","98.493688","5.153207","65.59627166090249","32.798135830451244"
"413.00","17","23.763414","37.970060","311.729019","4.884129","44.04383640654094","22.02191820327047"
"413.00","18","23.771003","37.967194","103.937373","5.234089","58.966630486342105","29.48331524317105"
"413.00","19","23.770346","37.967326","98.833083","5.205408","86.2698630682127","43.13493153410636"
"413.00","20","23.763517","37.969983","311.729019","4.884129","55.29112297293574","27.64556148646787"
"413.00","21","23.763617","37.969905","317.191264","4.884130","73.09353194546935","36.546765972734676"
"413.00","22","23.764199","37.969360","318.372355","5.616441","74.19284510909392","37.09642255454696"
"413.00","23","23.764854","37.968738","318.577189","5.421137","53.215634518644514","26.607817259322257"
"413.00","24","23.766904","37.967645","99.575302","4.946208","62.12647749247677","31.063238746238383"
"413.00","25","23.765786","37.967972","117.778646","4.590662","52.044710612301806","26.022355306150903"
"413.00","6","23.760496","37.971510","298.342297","4.620600","87.8592294557358","43.9296147278679"
"413.00","8","23.774372","37.967157","80.242739","4.926181","52.17574351968056","26.087871759840276"
